school,year,gsr
Illinois,2008,69
Illinois,2011,75
Illinois,2014,70
Illinois,2015,70
Indiana,2008,67
Indiana,2011,70
Indiana,2014,76
Indiana,2015,79
Iowa,2008,74
Iowa,2011,82
Iowa,2014,71
Iowa,2015,74
Maryland,2008,
Maryland,2011,
Maryland,2014,75
Maryland,2015,78
Michigan,2008,71
Michigan,2011,69
Michigan,2014,72
Michigan,2015,79
Michigan State,2008,56
Michigan State,2011,64
Michigan State,2014,66
Michigan State,2015,71
Minnesota,2008,54
Minnesota,2011,68
Minnesota,2014,69
Minnesota,2015,71
Nebraska,2008,
Nebraska,2011,68
Nebraska,2014,85
Nebraska,2015,86
Northwestern,2008,92
Northwestern,2011,97
Northwestern,2014,97
Northwestern,2015,97
Penn State,2008,85
Penn State,2011,91
Penn State,2014,81
Penn State,2015,80
Purdue,2008,59
Purdue,2011,59
Purdue,2014,76
Purdue,2015,81
Rutgers,2008,
Rutgers,2011,
Rutgers,2014,83
Rutgers,2015,82
The Ohio State,2008,62
The Ohio State,2011,74
The Ohio State,2014,81
The Ohio State,2015,74
Wisconsin,2008,65
Wisconsin,2011,63
Wisconsin,2014,71
Wisconsin,2015,73