id,t8,t9,t10,t11,female
1,1.75,2.6,3.76,3.68,0
2,0.9,2.47,2.44,3.43,0
3,0.8,0.93,0.4,2.27,0
4,2.42,4.15,4.56,4.21,0
5,-1.31,-1.31,-0.66,-2.22,0
6,-1.56,1.67,0.18,2.33,0
7,1.09,1.5,0.52,2.33,0
8,-1.92,1.03,0.5,3.04,0
9,-1.61,0.29,0.73,3.24,0
10,2.47,3.64,2.87,5.38,0
11,-0.95,0.41,0.21,1.82,0
12,1.66,2.74,2.4,2.17,0
13,2.07,4.92,4.46,4.71,0
14,3.3,6.1,7.19,7.46,0
15,2.75,2.53,4.28,5.93,0
16,2.25,3.38,5.79,4.4,0
17,2.08,1.74,4.12,3.62,0
18,0.14,0.01,1.48,2.78,0
19,0.13,3.19,0.6,3.14,0
20,2.19,2.65,3.27,2.73,0
21,-0.64,-1.31,-0.37,4.09,0
22,2.02,3.45,5.32,6.01,0
23,2.05,1.8,3.91,2.49,0
24,1.48,0.47,3.63,3.88,0
25,1.97,2.54,3.26,5.62,0
26,1.35,4.63,3.54,5.24,0
27,-0.56,-0.36,1.14,1.34,0
28,0.26,0.08,1.17,2.15,0
29,1.22,1.41,4.66,2.62,0
30,-1.43,0.8,-0.03,1.04,0
31,-1.17,1.66,2.11,1.42,0
32,1.68,1.71,4.07,3.3,0
33,-0.47,0.93,1.3,0.76,0
34,2.18,6.42,4.64,4.82,0
35,4.21,7.08,6,5.65,0
36,8.26,9.55,10.24,10.58,0
37,1.24,4.9,2.42,2.54,1
38,5.94,6.56,9.36,7.72,1
39,0.87,3.36,2.58,1.73,1
40,-0.09,2.29,3.08,3.35,1
41,3.24,4.78,3.52,4.84,1
42,1.03,2.1,3.88,2.81,1
43,3.58,4.67,3.83,5.19,1
44,1.41,1.75,3.7,3.77,1
45,-0.65,-0.11,2.4,3.53,1
46,1.52,3.04,2.74,2.63,1
47,0.57,2.71,1.9,2.41,1
48,2.18,2.96,4.78,3.34,1
49,1.1,2.65,1.72,2.96,1
50,0.15,2.69,2.69,3.5,1
51,-1.27,1.26,0.71,2.68,1
52,2.81,5.19,6.33,5.93,1
53,2.26,3.54,4.86,5.8,1
54,0.11,2.25,1.56,3.92,1
55,0.61,1.14,1.35,0.53,1
56,-2.19,-0.42,1.54,1.16,1
57,1.55,2.42,1.11,2.18,1
58,-0.04,0.5,2.6,2.61,1
59,3.1,2,3.92,3.91,1
60,-0.29,2.62,1.6,1.86,1
61,2.28,3.39,4.91,3.89,1
62,2.57,5.78,5.12,4.98,1
63,-2.19,0.71,1.56,2.31,1
64,-0.04,2.44,1.79,2.64,1